Date,Withdrawls,Deposits,UPI
12/19/2022,"2,000.00",,no
12/19/2022,21,,no
12/19/2022,3.78,,no
12/19/2022,220,,yes
12/19/2022,80,,yes
12/19/2022,"2,520.00",,yes
12/19/2022,630,,yes
12/19/2022,20,,yes
12/20/2022,529,,yes
12/21/2022,"1,000.00",,no
12/21/2022,21,,no
12/21/2022,3.78,,no
12/21/2022,150,,yes
12/21/2022,270,,yes
12/21/2022,,"1,200.00",no
12/21/2022,"1,230.00",,yes
12/21/2022,284,,yes
12/21/2022,300,,yes
12/22/2022,500,,yes
12/22/2022,25,,yes
12/23/2022,"1,500.00",,no
12/23/2022,21,,no
12/23/2022,3.78,,no
12/23/2022,20,,yes
12/24/2022,280,,yes
12/24/2022,350,,yes
12/24/2022,260,,yes
12/24/2022,105,,yes
12/24/2022,145,,yes
12/24/2022,800,,no
12/24/2022,"1,500.00",,no
12/24/2022,21,,no
12/24/2022,3.78,,no
12/25/2022,"1,000.00",,no
12/25/2022,21,,no
12/25/2022,3.78,,no
12/26/2022,"1,000.00",,no
12/26/2022,21,,no
12/26/2022,3.78,,no
12/26/2022,745,,no
12/26/2022,"2,500.00",,no
12/26/2022,"2,500.00",,no
12/26/2022,125,,yes
12/26/2022,10,,yes
12/27/2022,"1,000.00",,no
12/27/2022,21,,no
12/27/2022,3.78,,no
12/27/2022,,"1,400.00",no
12/27/2022,,"1,400.00",no
12/27/2022,238.68,,yes
12/27/2022,20,,yes
12/28/2022,82,,yes
12/28/2022,460,,yes
12/28/2022,75,,yes
12/28/2022,"1,400.00",,no
12/28/2022,"1,400.00",,no
12/28/2022,30,,yes
12/28/2022,150,,yes
12/29/2022,"1,400.00",,yes
12/29/2022,,308,no
12/29/2022,,"60,000.00",no
12/30/2022,120,,yes
12/30/2022,40,,yes
12/31/2022,"3,500.00",,no
12/31/2022,21,,no
12/31/2022,3.78,,no
12/31/2022,160,,yes
12/31/2022,125,,yes
12/31/2022,110,,yes
12/31/2022,600,,yes
1/1/2023,40,,yes
1/1/2023,20,,yes
1/2/2023,200,,yes
1/2/2023,230,,yes
1/2/2023,100,,yes
1/3/2023,,100,no
1/3/2023,500,,yes
1/3/2023,490,,yes
1/3/2023,300,,ysyes
1/4/2023,60,,yes
1/4/2023,162,,yes
1/4/2023,100,,yes
1/4/2023,100,,yes
1/4/2023,100,,yes
1/4/2023,400,,yes
1/5/2023,92,,yes
1/5/2023,430,,yes
1/5/2023,150,,yes
1/5/2023,60,,yes
1/5/2023,150,,no
1/5/2023,100,,no
1/6/2023,25,,yes
1/6/2023,180,,yes
1/6/2023,120,,yes
1/6/2023,70,,yes
1/6/2023,128,,no
1/7/2023,40,,yes
1/7/2023,60,,yes
1/7/2023,434,,yes
1/7/2023,132,,yes
1/7/2023,100,,yes
1/8/2023,40,,yes
1/8/2023,134,,yes
1/8/2023,45,,yes
1/8/2023,50,,yes
1/9/2023,"5,000.00",,no
1/10/2023,510,,no
1/11/2023,150,,yes
1/11/2023,,50,no
1/11/2023,20,,yes
1/11/2023,100,,yes
1/11/2023,10,,yes
1/13/2023,40,,yes
1/13/2023,"2,663.00",,yes
1/13/2023,30,,yes
1/13/2023,30,,yes
1/13/2023,,30,no
1/13/2023,22.5,,yes
1/13/2023,200,,yes
1/13/2023,50,,yes
1/15/2023,92,,yes
1/16/2023,"3,000.00",0,no
1/16/2023,200,0,yes
1/16/2023,15.3,,yes
1/16/2023,380,,yes
1/17/2023,150,,yes
1/17/2023,14,,yes
1/18/2023,"2,000.00",,no
1/18/2023,21,,no
1/18/2023,3.78,,no
1/18/2023,"1,100.00",,yes
1/19/2023,"2,000.00",,no
1/19/2023,21,,no
1/19/2023,3.78,,no
1/20/2023,150,,yes
